Conf,CCS (Å2),HF energy,,,
121,185.1156,-1006.670773,,,
123,239.246,-1006.642979,,,
156,207.4194,-1006.669468,,,
364,214.5186,-1006.647749,,,
448,183.5144,-1006.683265,,,
472,213.231,-1006.646081,,,
549,228.2627,-1006.645475,,,
663,229.1112,-1006.646138,,,
669,219.0424,-1006.656319,,,
684,231.3029,-1006.640679,,,
727,200.0051,-1006.656692,,,
746,233.9253,-1006.645388,,,
856,223.7122,-1006.644256,,,
876,228.691,-1006.644618,,,
879,200.8564,-1006.652267,,,
883,203.3049,-1006.65306,,,
950,194.1189,-1006.674211,,,
966,195.9413,-1006.667682,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
