Conf,CCS (Å2),HF energy,,,
34,190.9019,-1006.628316,,,
112,187.2184,-1006.679709,,,
121,222.792,-1006.612877,,,
123,188.6298,-1006.632185,,,
306,219.3635,-1006.609455,,,
448,183.5144,-1006.683265,,,
448,224.4915,-1006.608411,,,
472,198.4403,-1006.625729,,,
474,193.3946,-1006.624325,,,
549,221.0406,-1006.608771,,,
662,202.8687,-1006.678474,,,
669,216.0265,-1006.610314,,,
720,230.7665,-1006.609546,,,
727,185.0481,-1006.685534,,,
746,216.4489,-1006.607093,,,
879,224.9106,-1006.608851,,,
883,204.4325,-1006.612584,,,
962,221.4994,-1006.609289,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
