Conf,CCS (Å2),HF energy,,,
34,204.4292,-1005.388917,,,
102,197.3117,-1005.397094,,,
123,225.7367,-1005.377299,,,
156,236.0782,-1005.385849,,,
242,208.3189,-1005.39161,,,
304,239.4472,-1005.386518,,,
472,188.8347,-1005.404161,,,
474,201.1905,-1005.387126,,,
564,186.2978,-1005.400564,,,
584,179.0166,-1005.41552,,,
654,196.4619,-1005.399373,,,
662,183.7288,-1005.404614,,,
669,195.4671,-1005.396232,,,
684,180.0661,-1005.403,,,
771,189.3442,-1005.410563,,,
807,177.0607,-1005.418,,,
879,202.5126,-1005.398574,,,
883,191.2634,-1005.398933,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
