Conf,CCS (Å2),HF energy,,,
34,234.4098,-1005.403212,,,
102,198.0373,-1005.415787,,,
123,233.918,-1005.411268,,,
156,228.0083,-1005.406699,,,
231,195.1813,-1005.443761,,,
304,189.6538,-1005.445234,,,
315,204.9099,-1005.424798,,,
353,187.8485,-1005.415849,,,
448,234.2411,-1005.410586,,,
472,184.1107,-1005.426257,,,
474,192.1714,-1005.427527,,,
549,196.0901,-1005.445452,,,
599,234.3104,-1005.406649,,,
617,194.3792,-1005.446041,,,
625,231.7218,-1005.407427,,,
669,178.3584,-1005.427531,,,
684,180.8054,-1005.430675,,,
746,208.9949,-1005.413459,,,
796,189.2599,-1005.444797,,,
879,180.2927,-1005.434498,,,
883,197.3988,-1005.413682,,,
,,,,,
,,,,,
,,,,,
