Conf,CCS (Å2),HF energy,,,
87,186.3848,-1005.385912,,,
102,218.6667,-1005.375203,,,
112,229.5816,-1005.372563,,,
121,176.0896,-1005.400845,,,
123,198.9843,-1005.438343,,,
126,194.6314,-1005.439127,,,
197,184.3884,-1005.446165,,,
281,189.845,-1005.378918,,,
304,197.8828,-1005.390833,,,
370,186.6656,-1005.392986,,,
446,223.1247,-1005.374232,,,
448,222.9686,-1005.37891,,,
472,184.0766,-1005.400196,,,
549,196.8159,-1005.380648,,,
576,190.932,-1005.383759,,,
584,197.0382,-1005.388957,,,
617,194.3792,-1005.446041,,,
669,239.7993,-1005.370996,,,
684,205.0247,-1005.392006,,,
771,194.0484,-1005.387217,,,
879,227.9903,-1005.373886,,,
883,228.7997,-1005.373456,,,
950,189.1509,-1005.385059,,,
962,231.8201,-1005.372488,,,
