Conf,CCS (Å2),HF energy,,,
95,183.1613,-1006.673706,,,
121,228.3845,-1006.639846,,,
123,181.8628,-1006.67657,,,
126,193.3155,-1006.680923,,,
137,223.9914,-1006.652048,,,
234,217.9469,-1006.644161,,,
242,240.5271,-1006.647392,,,
304,209.8855,-1006.649187,,,
448,188.9799,-1006.677157,,,
472,194.3392,-1006.65029,,,
549,193.3285,-1006.675309,,,
578,190.1797,-1006.658134,,,
617,186.5442,-1006.675026,,,
676,195.9371,-1006.675303,,,
684,189.7918,-1006.671616,,,
731,191.2589,-1006.679185,,,
746,190.3702,-1006.679228,,,
876,220.5023,-1006.645549,,,
879,179.4455,-1006.674052,,,
883,190.0941,-1006.677493,,,
912,211.8789,-1006.658211,,,
919,209.1641,-1006.65691,,,
962,231.7115,-1006.640025,,,
981,237.1137,-1006.642537,,,
