Conf,CCS (Å2),HF energy,,,
14,221.5781,-1006.604897,,,
34,200.1271,-1006.627374,,,
112,196.7319,-1006.619826,,,
121,190.1011,-1006.68125,,,
123,220.9885,-1006.601985,,,
156,199.0583,-1006.61292,,,
255,208.2791,-1006.611249,,,
304,228.3597,-1006.603902,,,
315,232.3674,-1006.6064,,,
353,196.4298,-1006.669444,,,
428,229.5544,-1006.604042,,,
472,190.402,-1006.623164,,,
497,200.6124,-1006.610011,,,
549,222.0162,-1006.607065,,,
607,192.969,-1006.621071,,,
669,191.2983,-1006.674851,,,
746,198.7925,-1006.672177,,,
772,228.7358,-1006.606133,,,
876,194.1717,-1006.612858,,,
879,193.9445,-1006.61564,,,
961,225.3619,-1006.605699,,,
,,,,,
,,,,,
,,,,,
