Conf,CCS (Å2),HF energy,,,
102,190.8231,-1006.651514,,,
112,224.5981,-1006.646731,,,
123,192.1758,-1006.659465,,,
156,220.7026,-1006.647434,,,
198,232.4259,-1006.638548,,,
304,191.6663,-1006.652857,,,
315,195.4088,-1006.655211,,,
352,203.9759,-1006.652138,,,
357,182.087,-1006.656787,,,
364,186.4123,-1006.664916,,,
420,219.0676,-1006.64415,,,
428,200.0285,-1006.67041,,,
472,197.3124,-1006.651362,,,
578,195.5703,-1006.658587,,,
617,227.6787,-1006.648822,,,
669,186.4273,-1006.663167,,,
684,183.0063,-1006.670853,,,
727,235.0035,-1006.642144,,,
779,177.269,-1006.675035,,,
879,217.568,-1006.664103,,,
883,226.2626,-1006.649318,,,
950,236.893,-1006.648235,,,
961,240.4196,-1006.643718,,,
