Conf,CCS (Å2),HF energy,,,
110,194.5591,-1005.451584,,,
123,259.5723,-1005.44325,,,
472,205.0367,-1005.437167,,,
474,234.7078,-1005.441049,,,
496,193.4976,-1005.456856,,,
497,253.0587,-1005.436982,,,
549,204.2928,-1005.465029,,,
669,187.6048,-1005.460512,,,
705,205.4863,-1005.446969,,,
746,200.4274,-1005.450195,,,
796,236.5847,-1005.439818,,,
879,188.2711,-1005.474356,,,
883,180.3118,-1005.477529,,,
962,234.9853,-1005.450854,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
