Conf,CCS (Å2),HF energy,,,
12,239.9036,-1158.060226,,,
34,243.7797,-1158.060584,,,
90,205.9413,-1158.073192,,,
102,210.494,-1158.082708,,,
112,228.5222,-1158.075119,,,
123,240.2128,-1158.042216,,,
156,254.1623,-1158.050162,,,
197,199.0042,-1158.071501,,,
302,225.6848,-1158.074741,,,
404,207.0824,-1158.081319,,,
472,202.705,-1158.076739,,,
474,191.5609,-1158.076693,,,
669,189.2614,-1158.084374,,,
684,222.4426,-1158.075353,,,
772,199.0784,-1158.08964,,,
876,240.2985,-1158.047782,,,
879,197.7857,-1158.0645,,,
883,217.2518,-1158.068564,,,
962,222.3683,-1158.071232,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
