Conf,CCS (Å2),HF energy,,,
14,205.9229,-1158.085548,,,
90,208.781,-1158.023948,,,
123,220.3734,-1158.018626,,,
156,204.1939,-1158.03527,,,
205,244.1734,-1158.023197,,,
234,207.7701,-1158.029108,,,
367,210.183,-1158.023106,,,
472,243.7212,-1158.024446,,,
515,225.9899,-1158.029461,,,
549,207.6699,-1158.035233,,,
584,235.599,-1158.022157,,,
674,209.094,-1158.029839,,,
684,210.6777,-1158.032852,,,
879,230.0458,-1158.023395,,,
883,196.8418,-1158.040899,,,
885,194.8648,-1158.037316,,,
950,216.7551,-1158.031801,,,
966,233.6771,-1158.025527,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
