Conf,CCS (Å2),HF energy,,,
34,192.9267,-1158.082738,,,
102,219.092,-1158.067785,,,
231,204.1227,-1158.083279,,,
234,206.5222,-1158.078641,,,
302,205.0459,-1158.080953,,,
399,227.1832,-1158.054475,,,
472,239.6149,-1158.069638,,,
474,227.9689,-1158.052047,,,
549,252.7327,-1158.045206,,,
662,246.7477,-1158.070347,,,
669,221.5462,-1158.082187,,,
879,244.791,-1158.048378,,,
883,259.2408,-1158.053932,,,
950,249.5364,-1158.052662,,,
961,241.6228,-1158.053138,,,
962,194.4456,-1158.083653,,,
981,243.5673,-1158.048045,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
