Conf,CCS (Å2),HF energy,,,
34,233.652,-1158.021864,,,
95,222.4264,-1158.022828,,,
102,241.7649,-1158.024492,,,
112,234.8825,-1158.015401,,,
172,244.1207,-1158.02536,,,
197,212.8651,-1158.028387,,,
234,242.8083,-1158.018012,,,
302,218.0317,-1158.030689,,,
304,231.3964,-1158.023457,,,
305,232.193,-1158.020333,,,
315,249.6339,-1158.023958,,,
353,205.0331,-1158.027076,,,
472,208.0471,-1158.024693,,,
474,213.7595,-1158.027075,,,
549,223.3802,-1158.023038,,,
669,224.9649,-1158.032019,,,
684,229.1115,-1158.03077,,,
879,219.6496,-1158.020483,,,
883,240.6512,-1158.020147,,,
950,232.0495,-1158.016229,,,
962,218.2426,-1158.029461,,,
966,231.5989,-1158.066268,,,
981,235.0998,-1158.015386,,,
,,,,,
