Conf,CCS (Å2),HF energy,,,
14,180.2048,-1006.662851,,,
34,228.7434,-1006.640664,,,
60,237.9626,-1006.639615,,,
227,192.6587,-1006.674912,,,
231,183.1376,-1006.674124,,,
315,191.6315,-1006.659664,,,
448,233.3908,-1006.638719,,,
472,175.9868,-1006.676744,,,
496,227.3371,-1006.645794,,,
549,237.4426,-1006.643943,,,
578,217.23,-1006.646593,,,
608,201.6546,-1006.648608,,,
669,235.9388,-1006.640187,,,
684,211.7134,-1006.661576,,,
746,178.9021,-1006.678476,,,
771,214.1935,-1006.668026,,,
796,213.3752,-1006.652122,,,
817,236.2288,-1006.644935,,,
818,188.2131,-1006.670884,,,
879,188.8508,-1006.678316,,,
883,204.5791,-1006.651652,,,
948,190.1383,-1006.668452,,,
962,191.5947,-1006.679884,,,
981,234.7727,-1006.64125,,,
