Conf,CCS (Å2),HF energy,,,
102,196.669,-1006.61853,,,
121,186.0552,-1006.674244,,,
126,222.7946,-1006.612848,,,
205,213.8332,-1006.615403,,,
217,182.1847,-1006.625068,,,
234,209.8176,-1006.615684,,,
242,209.9016,-1006.666975,,,
304,210.1156,-1006.616323,,,
352,184.4808,-1006.622317,,,
365,227.3863,-1006.609638,,,
448,223.5996,-1006.610828,,,
472,189.4471,-1006.620371,,,
549,217.6638,-1006.609847,,,
684,203.4916,-1006.625341,,,
727,196.7778,-1006.614141,,,
797,215.3871,-1006.667979,,,
818,208.6107,-1006.608537,,,
879,224.166,-1006.611827,,,
883,179.8673,-1006.625895,,,
962,191.4367,-1006.616656,,,
,,,,,
,,,,,
,,,,,
,,,,,
