Conf,CCS (Å2),HF energy,,,
224,198.9271,-932.652859,,,
231,199.1048,-932.6507127,,,
234,243.2723,-932.6414533,,,
353,204.1857,-932.6500251,,,
428,192.605,-932.6569081,,,
448,238.8869,-932.6436206,,,
472,238.1965,-932.6416492,,,
474,196.1263,-932.656332,,,
497,184.6748,-932.658773,,,
549,188.9363,-932.6555812,,,
608,223.104,-932.6416186,,,
669,190.8827,-932.6590946,,,
731,206.3891,-932.6477002,,,
879,215.4275,-932.642783,,,
883,233.9172,-932.6399906,,,
950,188.143,-932.6564661,,,
966,181.86,-932.6601481,,,
,,,,,
,,,,,
,,,,,
