Conf,CCS (Å2),HF energy,,,
95,225.701,-932.6430577,,,
102,197.3459,-932.6492293,,,
123,218.3008,-932.6437159,,,
211,243.6234,-932.6429164,,,
304,240.6764,-932.6403495,,,
446,229.6387,-932.6430136,,,
472,240.5875,-932.6413772,,,
474,201.5878,-932.647491,,,
535,192.2184,-932.6557291,,,
549,201.3762,-932.6544996,,,
669,216.3164,-932.6438857,,,
684,202.3403,-932.6504995,,,
746,178.127,-932.6644781,,,
807,234.5515,-932.6427218,,,
841,238.8859,-932.6444685,,,
879,233.0349,-932.6412423,,,
883,240.5708,-932.6389431,,,
962,231.0283,-932.6402896,,,
,,,,,
,,,,,
