Conf,CCS (Å2),HF energy,,,
14,246.7795,-857.7043608,,,
18,242.8283,-857.7062337,,,
34,231.2977,-857.7034842,,,
102,244.2398,-857.7033274,,,
112,239.9382,-857.7037376,,,
123,239.9042,-857.7034757,,,
205,259.0165,-857.7034596,,,
234,237.9638,-857.7070948,,,
472,233.8932,-857.7029099,,,
549,230.2074,-857.7028109,,,
584,253.7451,-857.7026584,,,
669,231.9681,-857.703268,,,
684,222.7806,-857.7038679,,,
745,234.6213,-857.7025528,,,
772,228.6984,-857.7037447,,,
797,230.3579,-857.7031825,,,
879,228.8501,-857.7030287,,,
883,228.0559,-857.7032493,,,
885,192.5595,-857.7118596,,,
981,233.0997,-857.7028338,,,
