Conf,CCS (Å2),HF energy,,,
118,139.1819,-796.341496,,,
150,141.1371,-796.3347896,,,
273,143.4014,-796.3316456,,,
295,139.9504,-796.3334781,,,
338,133.4009,-796.3420678,,,
340,138.8159,-796.3333508,,,
422,148.6784,-796.3293663,,,
455,140.0747,-796.3206025,,,
490,140.2058,-796.3320445,,,
591,137.7843,-796.3380852,,,
599,140.8856,-796.326295,,,
609,141.8087,-796.3279366,,,
640,144.8538,-796.3361693,,,
683,140.5719,-796.3418313,,,
801,145.7132,-796.3283906,,,
900,136.6669,-796.3397584,,,
,,,,,
,,,,,
,,,,,
,,,,,
