Conf,CCS (Å2),HF energy,,,
102,201.7369,-1158.376817,,,
123,220.0172,-1158.378969,,,
156,187.5635,-1158.40077,,,
197,205.103,-1158.406301,,,
234,196.3898,-1158.408034,,,
428,216.07,-1158.371295,,,
446,192.518,-1158.416048,,,
469,221.4476,-1158.373014,,,
472,216.3742,-1158.369958,,,
474,187.1465,-1158.396346,,,
549,197.7225,-1158.402131,,,
610,206.4452,-1158.406712,,,
669,208.7733,-1158.379083,,,
684,200.4574,-1158.393115,,,
710,195.5903,-1158.391343,,,
727,204.1136,-1158.391145,,,
731,187.7825,-1158.39792,,,
841,194.147,-1158.404554,,,
879,246.6484,-1158.363894,,,
883,235.7482,-1158.368359,,,
950,195.7235,-1158.388829,,,
962,274.6537,-1158.365711,,,
,,,,,
,,,,,
