Conf,CCS (Å2),HF energy,,,
34,214.1038,-1158.352341,,,
123,233.031,-1158.350916,,,
186,221.6431,-1158.34619,,,
217,219.9747,-1158.341837,,,
306,214.9202,-1158.341206,,,
315,216.9286,-1158.350995,,,
353,217.9856,-1158.346047,,,
448,215.8399,-1158.344062,,,
472,193.2764,-1158.367137,,,
497,218.2476,-1158.341485,,,
510,221.3355,-1158.340544,,,
549,221.8265,-1158.342704,,,
584,221.6142,-1158.34652,,,
586,222.3265,-1158.351143,,,
625,219.236,-1158.35264,,,
669,220.3358,-1158.341478,,,
684,208.0048,-1158.354458,,,
713,229.1526,-1158.350668,,,
772,225.3983,-1158.348152,,,
856,209.742,-1158.345868,,,
883,212.1755,-1158.352454,,,
912,207.2892,-1158.347275,,,
950,222.1027,-1158.34301,,,
962,215.5988,-1158.352072,,,
