Conf,CCS (Å2),HF energy,,,
12,215.4057,-1158.311549,,,
34,196.5128,-1158.318075,,,
126,201.6861,-1158.31594,,,
197,215.8125,-1158.318024,,,
231,205.4051,-1158.310988,,,
472,197.8879,-1158.315669,,,
497,214.0915,-1158.314178,,,
535,208.6733,-1158.313011,,,
608,192.2398,-1158.367035,,,
669,214.4608,-1158.307302,,,
684,199.4662,-1158.312056,,,
747,197.1455,-1158.366273,,,
771,216.1195,-1158.310267,,,
876,217.7233,-1158.313385,,,
879,213.8241,-1158.315719,,,
883,211.1014,-1158.37253,,,
950,200.0247,-1158.322255,,,
966,205.8034,-1158.317852,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
