Conf,CCS (Å2),HF energy,,,
14,189.7436,-1158.380411,,,
34,198.4408,-1158.363578,,,
35,240.4575,-1158.338694,,,
112,188.4189,-1158.385871,,,
123,204.1517,-1158.350224,,,
156,190.2001,-1158.388861,,,
204,201.0382,-1158.369045,,,
217,198.3392,-1158.367774,,,
234,208.4219,-1158.346161,,,
315,182.36,-1158.372663,,,
329,198.3055,-1158.374501,,,
445,217.0271,-1158.349453,,,
472,199.5458,-1158.379444,,,
474,185.1898,-1158.379282,,,
549,194.2579,-1158.359085,,,
578,236.8972,-1158.33842,,,
586,197.6696,-1158.371459,,,
607,198.2712,-1158.373941,,,
669,189.7961,-1158.377871,,,
684,195.7564,-1158.374309,,,
727,195.4017,-1158.382485,,,
772,221.5009,-1158.348864,,,
796,195.7237,-1158.353524,,,
803,200.5494,-1158.367252,,,
883,201.2543,-1158.368418,,,
948,190.4678,-1158.384357,,,
950,198.381,-1158.348155,,,
961,184.4073,-1158.372889,,,
