Conf,CCS (Å2),HF energy,,,
14,192.6184,-854.0108901,,,
34,232.2156,-853.9967924,,,
102,175.3799,-854.0163502,,,
123,190.0878,-854.0096913,,,
234,197.1801,-854.0048436,,,
242,227.069,-853.9994624,,,
302,223.831,-854.0005734,,,
306,173.0862,-854.0155519,,,
353,212.2935,-853.9961901,,,
472,188.1852,-854.0060748,,,
496,214.6951,-853.9969603,,,
578,201.7565,-854.0032285,,,
617,218.0734,-854.0006473,,,
635,218.8525,-853.9985407,,,
684,181.9554,-854.0069271,,,
879,168.7747,-854.0197991,,,
883,203.621,-854.0031557,,,
920,193.5719,-854.0032952,,,
962,189.1556,-854.0060826,,,
,,,,,
