Conf,CCS (Å2),HF energy,,,
33,224.7663,-854.0008687,,,
73,204.9334,-854.0018063,,,
141,224.1091,-854.0011066,,,
155,203.2692,-854.0043045,,,
178,180.8894,-854.010888,,,
216,222.2108,-853.9997302,,,
280,184.3071,-854.0110815,,,
342,181.6001,-854.013609,,,
409,170.7578,-853.9853952,,,
494,177.8572,-854.0141024,,,
550,208.8896,-854.0037548,,,
551,199.7085,-854.0055286,,,
555,217.6217,-853.9998391,,,
702,180.6153,-854.0146677,,,
707,217.0909,-853.9998519,,,
775,218.3988,-854.0008812,,,
822,182.0192,-854.0163175,,,
905,197.9581,-854.0101257,,,
925,178.3386,-854.0099341,,,
,,,,,
